Roll Number,Student ID,Name,Course,Email,Phone,Password
26032430001,26032430001,Kapil Menon,BCA,26032430001@gnu.ac.in,9876596103,student123
26032430002,26032430002,Vikram Pande,BCA,26032430002@gnu.ac.in,9876588885,student123
26032430003,26032430003,Ramesh Kaveti,BCA,26032430003@gnu.ac.in,9876536976,student123
26032430004,26032430004,Sarita Jana,BCA,26032430004@gnu.ac.in,9876533796,student123
26032430005,26032430005,Yamuna Hegde,BCA,26032430005@gnu.ac.in,9876551323,student123
26032430006,26032430006,Shubham Chakravarthy,BCA,26032430006@gnu.ac.in,9876537084,student123
26032430007,26032430007,Sunita Iyer,BCA,26032430007@gnu.ac.in,9876567470,student123
26032430008,26032430008,Siddharth Mannem,BCA,26032430008@gnu.ac.in,9876563443,student123
26032430009,26032430009,Avni Reddivari,BCA,26032430009@gnu.ac.in,9876542257,student123
26032430010,26032430010,Divya Korimerla,BCA,26032430010@gnu.ac.in,9876565573,student123
26032430011,26032430011,Ratan Shah,BCA,26032430011@gnu.ac.in,9876530990,student123
26032430012,26032430012,Sanjay Pandipilli,BCA,26032430012@gnu.ac.in,9876541889,student123
26032430013,26032430013,Harsh Karnad,BCA,26032430013@gnu.ac.in,9876517400,student123
26032430014,26032430014,Madhuri Garg,BCA,26032430014@gnu.ac.in,9876540977,student123
26032430015,26032430015,Geeta Mamidala,BCA,26032430015@gnu.ac.in,9876559490,student123
26032430016,26032430016,Rohit Mekala,BCA,26032430016@gnu.ac.in,9876578161,student123
26032430017,26032430017,Aisha Khandelwal,BCA,26032430017@gnu.ac.in,9876573748,student123
26032430018,26032430018,Myra Chaturvedi,BCA,26032430018@gnu.ac.in,9876523981,student123
26032430019,26032430019,Prem Sangem,BCA,26032430019@gnu.ac.in,9876574116,student123
26032430020,26032430020,Prem Madipelli,BCA,26032430020@gnu.ac.in,9876595212,student123
26032430021,26032430021,Basanti Mahajan,BCA,26032430021@gnu.ac.in,9876545191,student123
26032430022,26032430022,Mahesh Reddem,BCA,26032430022@gnu.ac.in,9876580594,student123
26032430023,26032430023,Kamala Chawla,BCA,26032430023@gnu.ac.in,9876558076,student123
26032430024,26032430024,Harsh Chaturvedi,BCA,26032430024@gnu.ac.in,9876533836,student123
26032430025,26032430025,Yamuna Menon,BCA,26032430025@gnu.ac.in,9876524187,student123
26032430026,26032430026,Sunil Holla,BCA,26032430026@gnu.ac.in,9876561103,student123
26032430027,26032430027,Kamala Pandipilli,BCA,26032430027@gnu.ac.in,9876576261,student123
26032430028,26032430028,Manish Shah,BCA,26032430028@gnu.ac.in,9876517481,student123
26032430029,26032430029,Mona Vaddadi,BCA,26032430029@gnu.ac.in,9876555541,student123
26032430030,26032430030,Durga Verma,BCA,26032430030@gnu.ac.in,9876543718,student123
26032430031,26032430031,Ravina Jain,BCA,26032430031@gnu.ac.in,9876519514,student123
26032430032,26032430032,Shreya Pandey,BCA,26032430032@gnu.ac.in,9876518898,student123
26032430033,26032430033,Priyanka Joshi,BCA,26032430033@gnu.ac.in,9876587104,student123
26032430034,26032430034,Kiran Mehta,BCA,26032430034@gnu.ac.in,9876559410,student123
26032430035,26032430035,Monika Donga,BCA,26032430035@gnu.ac.in,9876538808,student123
26032430036,26032430036,Richa Mamidala,BCA,26032430036@gnu.ac.in,9876528103,student123
26032430037,26032430037,Shreya Yadav,BCA,26032430037@gnu.ac.in,9876553410,student123
26032430038,26032430038,Madhuri Penmetsa,BCA,26032430038@gnu.ac.in,9876597343,student123
26032430039,26032430039,Manpreet Patha,BCA,26032430039@gnu.ac.in,9876598004,student123
26032430040,26032430040,Aisha Naidu,BCA,26032430040@gnu.ac.in,9876541607,student123
26032430041,26032430041,Ritu Allu,BCA,26032430041@gnu.ac.in,9876586419,student123
26032430042,26032430042,Seema Agarwal,BCA,26032430042@gnu.ac.in,9876569339,student123
26032430043,26032430043,Kamala Tiwari,BCA,26032430043@gnu.ac.in,9876546135,student123
26032430044,26032430044,Durga Kandukuri,BCA,26032430044@gnu.ac.in,9876519635,student123
26032430045,26032430045,Anita Reddivari,BCA,26032430045@gnu.ac.in,9876564319,student123
26032430046,26032430046,Anjali Singh,BCA,26032430046@gnu.ac.in,9876525536,student123
26032430047,26032430047,Aarti Chakravarthy,BCA,26032430047@gnu.ac.in,9876570197,student123
26032430048,26032430048,Seema Mungamuri,BCA,26032430048@gnu.ac.in,9876533062,student123
26032430049,26032430049,Aisha Gadde,BCA,26032430049@gnu.ac.in,9876510840,student123
26032430050,26032430050,Ravina Mishra,BCA,26032430050@gnu.ac.in,9876562703,student123
26032430051,26032430051,Anika Yandapalli,BCA,26032430051@gnu.ac.in,9876591983,student123
26032430052,26032430052,Monika Verma,BCA,26032430052@gnu.ac.in,9876578829,student123
26032430053,26032430053,Durga Nallagondu,BCA,26032430053@gnu.ac.in,9876543024,student123
26032430054,26032430054,Kavita Menon,BCA,26032430054@gnu.ac.in,9876524283,student123
26032430055,26032430055,Sarita Bhasin,BCA,26032430055@gnu.ac.in,9876567184,student123
26032430056,26032430056,Ganga Shah,BCA,26032430056@gnu.ac.in,9876534583,student123
26032430057,26032430057,Asha Katikineni,BCA,26032430057@gnu.ac.in,9876527784,student123
26032430058,26032430058,Basanti Reddy,BCA,26032430058@gnu.ac.in,9876577040,student123
26032430059,26032430059,Savita Kuncharapu,BCA,26032430059@gnu.ac.in,9876552744,student123
26032430060,26032430060,Madhuri Tiwari,BCA,26032430060@gnu.ac.in,9876588745,student123
26032400001,26032400001,Manish Gottumukkula,BSC-AIML,26032400001@gnu.ac.in,9876527651,student123
26032400002,26032400002,Harsh Madipelli,BSC-AIML,26032400002@gnu.ac.in,9876534575,student123
26032400003,26032400003,Basanti Linga,BSC-AIML,26032400003@gnu.ac.in,9876569257,student123
26032400004,26032400004,Raj Gupta,BSC-AIML,26032400004@gnu.ac.in,9876557480,student123
26032400005,26032400005,Rajesh Sharma,BSC-AIML,26032400005@gnu.ac.in,9876543459,student123
26032400006,26032400006,Rekha Agarwal,BSC-AIML,26032400006@gnu.ac.in,9876521948,student123
26032400007,26032400007,Seema Shukla,BSC-AIML,26032400007@gnu.ac.in,9876559258,student123
26032400008,26032400008,Shreya Nayak,BSC-AIML,26032400008@gnu.ac.in,9876512117,student123
26032400009,26032400009,Deepak Patha,BSC-AIML,26032400009@gnu.ac.in,9876552343,student123
26032400010,26032400010,Sunita Pai,BSC-AIML,26032400010@gnu.ac.in,9876593216,student123
26032400011,26032400011,Aarti Singh,BSC-AIML,26032400011@gnu.ac.in,9876574589,student123
26032400012,26032400012,Meera Tiwari,BSC-AIML,26032400012@gnu.ac.in,9876594887,student123
26032400013,26032400013,Rekha Nuka,BSC-AIML,26032400013@gnu.ac.in,9876515287,student123
26032400014,26032400014,Suresh Yandapalli,BSC-AIML,26032400014@gnu.ac.in,9876525446,student123
26032400015,26032400015,Girish Pai,BSC-AIML,26032400015@gnu.ac.in,9876525852,student123
26032400016,26032400016,Nikhil Rachamalla,BSC-AIML,26032400016@gnu.ac.in,9876547236,student123
26032400017,26032400017,Aakash Mungamuri,BSC-AIML,26032400017@gnu.ac.in,9876514806,student123
26032400018,26032400018,Amit Sabbella,BSC-AIML,26032400018@gnu.ac.in,9876598769,student123
26032400019,26032400019,Sneha Garrepally,BSC-AIML,26032400019@gnu.ac.in,9876525331,student123
26032400020,26032400020,Prisha Hegde,BSC-AIML,26032400020@gnu.ac.in,9876572997,student123
26032400021,26032400021,Kiran Nallagondu,BSC-AIML,26032400021@gnu.ac.in,9876549459,student123
26032400022,26032400022,Sunita Joshi,BSC-AIML,26032400022@gnu.ac.in,9876570524,student123
26032400023,26032400023,Kapil Patha,BSC-AIML,26032400023@gnu.ac.in,9876581326,student123
26032400024,26032400024,Anika Reddivari,BSC-AIML,26032400024@gnu.ac.in,9876513457,student123
26032400025,26032400025,Yamuna Kashyap,BSC-AIML,26032400025@gnu.ac.in,9876581757,student123
26032400026,26032400026,Kavita Singh,BSC-AIML,26032400026@gnu.ac.in,9876533356,student123
26032400027,26032400027,Ratan Pande,BSC-AIML,26032400027@gnu.ac.in,9876533387,student123
26032400028,26032400028,Shreya Mahindra,BSC-AIML,26032400028@gnu.ac.in,9876566726,student123
26032400029,26032400029,Sanjay Mekala,BSC-AIML,26032400029@gnu.ac.in,9876582734,student123
26032400030,26032400030,Vishal Kini,BSC-AIML,26032400030@gnu.ac.in,9876595800,student123
26032400031,26032400031,Geeta Thakur,BSC-AIML,26032400031@gnu.ac.in,9876581803,student123
26032400032,26032400032,Anjali Katikineni,BSC-AIML,26032400032@gnu.ac.in,9876519213,student123
26032400033,26032400033,Rekha Rawat,BSC-AIML,26032400033@gnu.ac.in,9876546744,student123
26032400034,26032400034,Shweta Vaddadi,BSC-AIML,26032400034@gnu.ac.in,9876596584,student123
26032400035,26032400035,Mona Mannem,BSC-AIML,26032400035@gnu.ac.in,9876518510,student123
26032400036,26032400036,Anita Saladi,BSC-AIML,26032400036@gnu.ac.in,9876520160,student123
26032400037,26032400037,Monika Desai,BSC-AIML,26032400037@gnu.ac.in,9876558313,student123
26032400038,26032400038,Navya Jain,BSC-AIML,26032400038@gnu.ac.in,9876529933,student123
26032400039,26032400039,Swati Kuncharapu,BSC-AIML,26032400039@gnu.ac.in,9876555795,student123
26032400040,26032400040,Basanti Yandapalli,BSC-AIML,26032400040@gnu.ac.in,9876585326,student123
26032400041,26032400041,Kavita Yandapalli,BSC-AIML,26032400041@gnu.ac.in,9876546654,student123
26032400042,26032400042,Sneha Madipelli,BSC-AIML,26032400042@gnu.ac.in,9876550541,student123
26032400043,26032400043,Anita Bobby,BSC-AIML,26032400043@gnu.ac.in,9876557203,student123
26032400044,26032400044,Richa Nayak,BSC-AIML,26032400044@gnu.ac.in,9876550444,student123
26032400045,26032400045,Madhuri Gottumukkula,BSC-AIML,26032400045@gnu.ac.in,9876561176,student123
26032400046,26032400046,Riya Chauhan,BSC-AIML,26032400046@gnu.ac.in,9876550961,student123
26032400047,26032400047,Shweta Mannem,BSC-AIML,26032400047@gnu.ac.in,9876510418,student123
